날짜,유형,주식 수,가격,남은 자본
0,Initial Buy,2491,401.4203186035156,61.986358642578125
51,Sell,2491,432.6593017578125,1077816.3070373535
54,Buy,2432,443.0657653808594,280.3656311035156
72,Sell,2432,430.4158935546875,1047051.8187561035
78,Buy,2458,425.8331604003906,353.9104919433594
84,Sell,2458,426.2225341796875,1048008.8995056152
86,Buy,2384,439.5513610839844,118.45468139648438
133,Sell,2384,496.1499938964844,1182940.0401306152
151,Buy,2640,448.0700073242188,35.220794677501544
163,Sell,2640,475.3399963378906,1254932.8111267088
174,Buy,2681,467.96240234375,325.61044311500154
